iter	Logloss
0	0.6402610448
1	0.6038878757
2	0.5664044754
3	0.5366225764
4	0.5121124802
5	0.4925048371
6	0.4713724757
7	0.4528443365
8	0.4370860071
9	0.4241898942
10	0.4143725638
11	0.4038680162
12	0.3955348186
13	0.3871625758
14	0.3806080557
15	0.3743083802
16	0.3696039671
17	0.365207261
18	0.361128096
19	0.3563060126
20	0.3526169858
21	0.3499776462
22	0.3475192436
23	0.3448763823
24	0.3433773013
25	0.3416246343
26	0.3393373399
27	0.3371353701
28	0.3355012427
29	0.3336728694
30	0.3316139638
31	0.329710736
32	0.3280568078
33	0.3268916279
34	0.3258716138
35	0.3245492234
36	0.3233942067
37	0.3222514263
38	0.3209479129
39	0.3200539775
40	0.3194013977
41	0.3181984575
42	0.3173845372
43	0.3163231881
44	0.3153559419
45	0.3144672819
46	0.3135917716
47	0.312670687
48	0.3121856552
49	0.3115146702
50	0.3109840299
51	0.3102278814
52	0.3096293463
53	0.3086472202
54	0.3082308398
55	0.3078294762
56	0.3073404178
57	0.3069809656
58	0.3064686452
59	0.3059357608
60	0.305585755
61	0.3049938023
62	0.3046051628
63	0.3041247407
64	0.3035494664
65	0.3032158555
66	0.3027324104
67	0.3022554384
68	0.30186748
69	0.3015551507
70	0.3012207528
71	0.300931718
72	0.3002941525
73	0.2999596883
74	0.2996711446
75	0.2995037336
76	0.2992724229
77	0.2989472564
78	0.2986740853
79	0.2981341513
80	0.2979276489
81	0.2976477773
82	0.2973607161
83	0.2971063288
84	0.2966384266
85	0.2964002422
86	0.296168992
87	0.2958479449
88	0.2956672869
89	0.2954524608
90	0.295296005
91	0.2951085947
92	0.2947032302
93	0.2942806919
94	0.2940926324
95	0.2939105846
96	0.2937935461
97	0.2936817507
98	0.2935160484
99	0.2933540294
100	0.2932277294
101	0.2930521699
102	0.292938318
103	0.2928014957
104	0.2926842826
105	0.2924599212
106	0.2920466246
107	0.2917836695
108	0.2914351986
109	0.2913131411
110	0.291173347
111	0.2910385348
112	0.2906895243
113	0.2905446624
114	0.2902385825
115	0.2899566817
116	0.2897098054
117	0.2896185971
118	0.2894901216
119	0.2893211087
120	0.2892135463
121	0.2890233643
122	0.2889565894
123	0.2888259525
124	0.2887424615
125	0.2886289413
126	0.2884331538
127	0.2882708424
128	0.2880975108
129	0.2880151778
130	0.2878920294
131	0.2878015914
132	0.2877421705
133	0.2875842745
134	0.2875109891
135	0.2874313992
136	0.2872780847
137	0.2872508456
138	0.2871717608
139	0.2870241667
140	0.2869236246
141	0.2868479312
142	0.2867535831
143	0.2866444725
144	0.286453147
145	0.2863501049
146	0.2862115403
147	0.286136784
148	0.2860589307
149	0.285966132
150	0.2858714497
151	0.2857836604
152	0.2857392674
153	0.2856349588
154	0.2855415454
155	0.2854851077
156	0.2853501369
157	0.2852625407
158	0.2851794752
159	0.2849947689
160	0.2848599531
161	0.2847597187
162	0.28459769
163	0.284501882
164	0.2844301151
165	0.2843485303
166	0.2842607991
167	0.2842138784
168	0.2842059801
169	0.2840781121
170	0.2839938634
171	0.2838762934
172	0.2837937544
173	0.283584172
174	0.2834972012
175	0.2831506985
176	0.2830150484
177	0.2828503511
178	0.2827806493
179	0.2827315821
180	0.2826578797
181	0.2825005665
182	0.2824094668
183	0.2823194686
184	0.2822254287
185	0.2821488185
186	0.282084449
187	0.2820181394
188	0.2819556422
189	0.2818738435
190	0.2817701986
191	0.2817249571
192	0.2815964311
193	0.2815366821
194	0.2814733952
195	0.2814056756
196	0.2812913387
197	0.2812545864
198	0.2811964573
199	0.2811374061
200	0.2810733229
201	0.2808472351
202	0.2807413994
203	0.2806618159
204	0.2805932861
205	0.2805237448
206	0.2804694944
207	0.2803978837
208	0.2803475458
209	0.2802659844
210	0.2801782743
211	0.2800874181
212	0.2800007928
213	0.2799292836
214	0.2798647631
215	0.2798233169
216	0.2797365758
217	0.2796788342
218	0.2796081516
219	0.2795428794
220	0.2794470147
221	0.2793904325
222	0.2793020812
223	0.2792487937
224	0.2791491014
225	0.2790722934
226	0.2790252091
227	0.2789394377
228	0.2788848273
229	0.2788312296
230	0.2787664014
231	0.2786729064
232	0.2784361997
233	0.2783766151
234	0.2783199379
235	0.2782534943
236	0.2781204004
237	0.2780354345
238	0.2779345431
239	0.2778575703
240	0.2778091127
241	0.277744513
242	0.2776957971
243	0.2776084212
244	0.2775510617
245	0.2773101479
246	0.2772357593
247	0.2770521919
248	0.2769923769
249	0.2769292805
250	0.2768021569
251	0.2765094432
252	0.2764507806
253	0.2763818508
254	0.2762924099
255	0.2762349336
256	0.2761368259
257	0.2760890608
258	0.2759377563
259	0.2757030024
260	0.2756172661
261	0.2755255313
262	0.2754848379
263	0.2754129121
264	0.2753493198
265	0.2751483539
266	0.2750989102
267	0.2750318941
268	0.2749252195
269	0.2747453082
270	0.2746709371
271	0.2746050908
272	0.2745335891
273	0.274495143
274	0.2744305184
275	0.2743194304
276	0.2742386069
277	0.2741532923
278	0.2739121131
279	0.2737983711
280	0.2737459019
281	0.2736825335
282	0.27362958
283	0.27358168
284	0.2735398368
285	0.2734707366
286	0.2734385596
287	0.2733543131
288	0.2732893405
289	0.2732203467
290	0.2731332421
291	0.273103431
292	0.2729431831
293	0.2728908511
294	0.2728592149
295	0.2727893766
296	0.2727436051
297	0.2726749883
298	0.2726179171
299	0.2725542874
300	0.2724689421
301	0.2723909567
302	0.2723601324
303	0.2722992651
304	0.2722430318
305	0.2722093927
306	0.2720936397
307	0.2720674499
308	0.2720111079
309	0.2719581156
310	0.2718849943
311	0.2718256318
312	0.2717924602
313	0.2717106184
314	0.2716353122
315	0.2715798256
316	0.2715306666
317	0.2713995224
318	0.2713739356
319	0.2713160172
320	0.2712784823
321	0.2712167403
322	0.2711836623
323	0.2711284646
324	0.2710813802
325	0.2710264247
326	0.2709883925
327	0.2709295504
328	0.2708559486
329	0.2708036057
330	0.2707347988
331	0.2706797854
332	0.2706307064
333	0.2705724721
334	0.2705434264
335	0.2704893603
336	0.2704390273
337	0.2704182856
338	0.2703628874
339	0.2703195728
340	0.270261243
341	0.2702028849
342	0.2701653972
343	0.2701212802
344	0.2700770155
345	0.2700019945
346	0.2699207266
347	0.2698637498
348	0.2698331567
349	0.2697827571
350	0.2697355686
351	0.2697012746
352	0.2696742822
353	0.2695820234
354	0.269545436
355	0.26948576
356	0.2694403316
357	0.2693824789
358	0.2693323157
359	0.2692855959
360	0.2692562402
361	0.2692134531
362	0.2691264816
363	0.2690632728
364	0.2689932867
365	0.2689664452
366	0.2689151725
367	0.2688723005
368	0.2688225822
369	0.268783933
370	0.2687522506
371	0.268712861
372	0.2686657959
373	0.2686032745
374	0.2685726797
375	0.268552422
376	0.2685049936
377	0.2683994302
378	0.2683724135
379	0.2682927347
380	0.268241036
381	0.2681475575
382	0.2681035823
383	0.2680596515
384	0.2679971046
385	0.2679712788
386	0.2679414285
387	0.2679169468
388	0.2678485653
389	0.2677945507
390	0.2677400377
391	0.2676911513
392	0.2676424717
393	0.2675853167
394	0.2675357758
395	0.2674817777
396	0.2674603299
397	0.2674149883
398	0.2673740365
399	0.2673232417
400	0.2672831649
401	0.2672235631
402	0.2671719111
403	0.2671489144
404	0.267108046
405	0.267067097
406	0.2670199703
407	0.2669783391
408	0.2669144284
409	0.2668642548
410	0.2668166288
411	0.2666989652
412	0.2666670025
413	0.266616532
414	0.2665907811
415	0.2665200213
416	0.2664147343
417	0.2663808817
418	0.2663648022
419	0.2663273702
420	0.2662668899
421	0.266220313
422	0.2661791721
423	0.2661286182
424	0.2660800553
425	0.2660130984
426	0.2659697235
427	0.2659136236
428	0.2658119238
429	0.265753257
430	0.265717494
431	0.2656357
432	0.2655966544
433	0.265553358
434	0.2654833106
435	0.2654381444
436	0.2654055432
437	0.2653615789
438	0.2653191585
439	0.2652853744
440	0.2651947634
441	0.2651555793
442	0.2651011533
443	0.2650650741
444	0.265024298
445	0.2649863118
446	0.2649427047
447	0.2648975787
448	0.2648463421
449	0.2647951628
450	0.2647687767
451	0.2647147244
452	0.2646837328
453	0.2646121654
454	0.2645700292
455	0.264545744
456	0.2645358795
457	0.2645065036
458	0.2644685593
459	0.264421341
460	0.2643791305
461	0.264334389
462	0.2642834579
463	0.2642572113
464	0.2642175204
465	0.2641803594
466	0.2641270488
467	0.264077069
468	0.2640209358
469	0.2639382128
470	0.2638523722
471	0.2638011897
472	0.2637628039
473	0.2637204316
474	0.2636778345
475	0.2636676759
476	0.2636330862
477	0.2636052336
478	0.2635854843
479	0.2635397314
480	0.2635021269
481	0.2634825646
482	0.2634461427
483	0.2634086818
484	0.2633396647
485	0.2632967543
486	0.2632535199
487	0.2631984967
488	0.2631569518
489	0.2630943438
490	0.2630698093
491	0.2630350862
492	0.2630008548
493	0.2629666346
494	0.2629333493
495	0.262901545
496	0.2628739552
497	0.2628444439
498	0.2628197627
499	0.2627565775
500	0.2627318792
501	0.2626939242
502	0.2626643087
