iter	Passed	Remaining
429	1710	2267
430	1714	2263
431	1718	2259
432	1721	2254
433	1725	2250
434	1729	2246
435	1733	2242
436	1737	2238
437	1741	2234
438	1744	2229
439	1748	2225
440	1752	2221
441	1756	2216
442	1759	2212
443	1763	2208
444	1767	2203
445	1771	2200
446	1775	2196
447	1780	2193
448	1784	2190
449	1789	2187
450	1793	2183
451	1797	2179
452	1801	2175
453	1806	2172
454	1810	2168
455	1813	2163
456	1817	2159
457	1821	2155
458	1825	2151
459	1829	2147
460	1832	2143
461	1836	2138
462	1840	2134
463	1844	2130
464	1848	2126
465	1852	2122
466	1856	2118
467	1859	2114
468	1863	2109
469	1867	2105
470	1871	2101
471	1875	2097
472	1878	2093
473	1882	2089
474	1886	2085
475	1890	2080
476	1894	2076
477	1898	2072
478	1901	2068
479	1905	2064
480	1909	2060
481	1913	2056
482	1916	2051
483	1920	2047
484	1924	2043
485	1928	2039
486	1932	2035
487	1935	2031
488	1939	2026
489	1943	2022
490	1947	2018
491	1951	2014
492	1955	2010
493	1958	2006
494	1962	2002
495	1967	1999
496	1972	1996
497	1976	1992
498	1981	1989
499	1985	1985
500	1989	1981
501	1993	1977
502	1997	1973
503	2001	1969
504	2005	1965
505	2008	1961
506	2012	1956
507	2016	1952
508	2019	1948
509	2023	1944
510	2027	1940
511	2031	1936
512	2035	1931
513	2038	1927
514	2042	1923
515	2046	1919
516	2050	1915
517	2054	1911
518	2057	1907
519	2061	1903
520	2065	1899
521	2069	1894
522	2072	1890
523	2076	1886
524	2080	1882
525	2084	1878
526	2088	1874
527	2092	1870
528	2096	1866
529	2099	1862
530	2103	1857
531	2107	1853
532	2110	1849
533	2114	1845
534	2118	1841
535	2122	1837
536	2126	1833
537	2130	1829
538	2134	1825
539	2137	1820
540	2141	1816
541	2145	1813
542	2149	1808
543	2152	1804
544	2157	1801
545	2161	1796
546	2165	1793
547	2170	1790
548	2174	1786
549	2179	1782
550	2183	1779
551	2187	1775
552	2192	1772
553	2195	1767
554	2199	1763
